,MSFT,UNH
,NVDA,PEP
Date,,
2021-10-06,1.0410314756650993,-1.7573955524878289
2021-10-07,1.0013158537090259,-1.5202787224555652
2021-10-08,1.1377533497957673,-1.2657285872568664
2021-10-11,1.153241014739988,-1.476998507798892
2021-10-12,1.034784944180616,-1.696570210343587
2021-10-13,1.219988542991259,-1.8864471802073999
2021-10-14,1.3978375220209671,-1.3056543450853912
2021-10-15,1.4755933431477142,-0.8394663525638405
2021-10-18,1.5751607527252256,-0.8697725420988593
2021-10-19,1.6289675643181032,-1.270539388441819
2021-10-20,1.6534305024567735,-0.9780693541394483
2021-10-21,1.6513284144525557,-0.21235345199910255
2021-10-22,1.4760187625325718,-0.026939439930855513
2021-10-25,1.1293630164066413,0.1344225716274044
2021-10-26,0.45550952293805125,0.010305532498667471
2021-10-27,1.8800289204586287,0.06163336878937359
2021-10-28,1.7213075460814489,-0.037436655604275185
2021-10-29,2.08144625450697,0.21375691759122092
2021-11-01,1.7162645312845148,-0.03317400458997688
2021-11-02,1.762598422747733,-0.42134986499804905
2021-11-03,1.7374269260683466,-0.463114652323252
2021-11-04,0.18475021493077085,-0.493073934715943
2021-11-05,0.17503020898240437,-0.8668310367390486
2021-11-08,-0.3223684469202564,0.15886771355248044
2021-11-09,-0.3417657367371835,0.03494045488755894
2021-11-10,-0.17495258526629787,-0.28642935736338115
2021-11-11,-0.5363282098796767,-0.14860326742418958
2021-11-12,-0.11724757625900696,-0.06219581565042834
2021-11-15,0.02335046140348974,-0.68744443081615
2021-11-16,0.25986486103604806,-0.6506460296053681
2021-11-17,0.8091153547822818,-0.695194411059624
2021-11-18,-0.33032348763193387,-0.679295182433368
2021-11-19,-0.8827654330237648,-1.2204215316437181
2021-11-22,-0.6283742248122706,-1.4071752636998525
2021-11-23,-0.7213506020176605,-1.1485004151378762
2021-11-24,-1.217765741582919,-0.7073037290433078
2021-11-26,-1.3684023397709082,-0.7081714874908596
2021-11-29,-1.7355593750829141,-0.6942348211462268
2021-11-30,-1.9352524723010691,-0.23307116619730528
2021-12-01,-1.293377603988507,-0.30070407436951374
2021-12-02,-1.7375537398886798,-0.5171386636174384
2021-12-03,-1.5703318729632076,-1.0796272011673675
2021-12-06,-0.8922519525260395,-0.8804932867936396
2021-12-07,-1.3744821382690469,-0.6155665322791125
2021-12-08,-1.033486633394131,-0.4683329380794938
2021-12-09,-0.46934168123201575,-0.2073949581122466
2021-12-10,0.6177984798728983,-0.48340242184996884
2021-12-13,1.449678372160541,-0.6514848824786066
2021-12-14,0.2688631513490024,-0.5045509129192032
2021-12-15,-0.3003212524885637,-0.19324711898402497
2021-12-16,-0.09576067819915506,-0.31693230968847347
2021-12-17,0.1243052247340939,0.08567843169074876
2021-12-20,-0.21052326520243397,-0.2997481469655879
2021-12-21,-0.24661707348374298,-0.03068131548924973
2021-12-22,0.15001248842035247,0.106137947036265
2021-12-23,0.16161504329406604,0.2048221521181261
2021-12-27,0.191241940736624,0.07881524109120529
2021-12-28,0.422210084615845,0.07512454405490684
2021-12-29,0.6702266165390314,0.08651854886306928
2021-12-30,0.6449321400713091,0.08823556773326441
2021-12-31,0.44920362707544675,-0.22734994770630265
2022-01-03,-0.10150990108809714,-0.07821928749253197
2022-01-04,-0.19853083204743144,-0.6883116556062595
